name,status,family1,family2,family3
Villa Viciosa Agta,extinct,Unattested,Austronesian (Unattested),-
Djimini Senoufo,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Yanda Dom Dogon,definitely endangered,Dogon,North Plateau Dogon,Yanda-Bondum-Tebul
Dyangadi,extinct,Pama-Nyungan,Macleay-New England,-
Jola-Fonyi,safe,Atlantic-Congo,North-Central Atlantic,Central Atlantic
Dyula,safe,Mande,Western Mande,Manding-Kpelle
Dyaabugay,critically endangered,Pama-Nyungan,Yimidhirr-Yalanji-Yidinic,Yidinic
Tunzu,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Daza,safe,Unattested,Afro-Asiatic (Unattested),-
Djiwarli,extinct,Pama-Nyungan,South-West Pama-Nyungan,Pilbara
Dazaga,safe,Saharan,Western Saharan,Tebu
Dzalakha,vulnerable,Sino-Tibetan,Bodic,Bodish
Dzando,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Dzongkha,vulnerable,Sino-Tibetan,Bodic,Bodish
Ebughu,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Teke-Eboo-Nzikou,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Ebrié,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Embu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
